expression,reading,meaning,tags,guid
現像,げんぞう,發展（電影）,JLPT_1 JLPT,v9bha+<cj}
原則,げんそく,原則，一般規則,JLPT_1 JLPT,dVC[`t${#`
見地,けんち,觀點看法,JLPT_1 JLPT,wk)a!>hpi:
現地,げんち,實際地方，本地,JLPT_1 JLPT,G$>SwAUY5:
限定,げんてい,限制，限制,JLPT_1 JLPT,o%F/8(![P3
原点,げんてん,原點（坐標，起點）,JLPT_1 JLPT,bXdt~Sz`DP
原典,げんてん,原始，來源,JLPT_1 JLPT,EB`MVeV|+3
原爆,げんばく,原子彈,JLPT_1 JLPT,qVu!~xa[nC
原文,げんぶん,文字，原始,JLPT_1 JLPT,w>egRzs&//
厳密,げんみつ,嚴格，關閉,JLPT_1 JLPT,k<}V}HBo:Y
賢明,けんめい,智慧，智慧，審慎,JLPT_1 JLPT,rF6VPIq@Kt
倹約,けんやく,節儉，經濟，節儉,JLPT_1 JLPT,G)qGN7wCPF
原油,げんゆ,原油,JLPT_1 JLPT,mqzQ4phBV%
兼用,けんよう,多用途，合併使用,JLPT_1 JLPT,Q[mY;6;Blm
権力,けんりょく,（政治）權力，權威，影響力,JLPT_1 JLPT,zLBVbQJht)
言論,げんろん,討論，言語,JLPT_1 JLPT,j=]X!_Sn:<
故～,こ～,已故，遲到了,JLPT_1 JLPT,l<k2Hl<qF:
語彙,ごい,詞彙，詞彙表,JLPT_1 JLPT,dg-x#L-S>s
恋する,こいする,愛上，愛,JLPT_1 JLPT,x>yH@(e$>B
甲,こう,排名第一；殼,JLPT_1 JLPT,gr(P$T&hE)
～光,～こう,光,JLPT_1 JLPT,dR[Ye:I0gD
好意,こうい,良好的意志，青睞，禮貌,JLPT_1 JLPT,f{|~G`MfSc
行為,こうい,行為，行為,JLPT_1 JLPT,"x,?`vew_Y^"
合意,ごうい,協議，同意，相互理解,JLPT_1 JLPT,u5DPHkD^67
工学,こうがく,工程,JLPT_1 JLPT,nLBSX>%S~{
抗議,こうぎ,抗議，反對,JLPT_1 JLPT,N%yl^:99*x
合議,ごうぎ,諮詢，會議,JLPT_1 JLPT,g]f7CW]TnO
皇居,こうきょ,故宮,JLPT_1 JLPT,s3?rVk?BGD
好況,こうきょう,繁榮的條件，健康經濟,JLPT_1 JLPT,w5c/V*0:/6
鉱業,こうぎょう,礦業,JLPT_1 JLPT,w)+*p6qI~s
興業,こうぎょう,開展業務；行業,JLPT_1 JLPT,qy~me*:#E{
高原,こうげん,Tableland，高原,JLPT_1 JLPT,GF2Ak`BNv1
交互,こうご,相互，互惠，替代,JLPT_1 JLPT,i<WWSGhMtl
煌々と,こうこうと,明亮,JLPT_1 JLPT,wYY;?*yl=I
考古学,こうこがく,考古學,JLPT_1 JLPT,CYD1fRQ8EC
工作,こうさく,手工藝品，機動,JLPT_1 JLPT,wzz*)FRo9<
耕作,こうさく,種植，耕種,JLPT_1 JLPT,hB|/|8Uy}2
鉱山,こうざん,礦,JLPT_1 JLPT,"KT!enF:=,%"
講習,こうしゅう,短期課程，培訓,JLPT_1 JLPT,g(z7%o&?^
口述,こうじゅつ,口頭陳述,JLPT_1 JLPT,C~8oU(cK0?
控除,こうじょ,補貼，演繹,JLPT_1 JLPT,s2uW?Na1t%
交渉,こうしょう,談判,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,uv@U[?I@AF
高尚,こうしょう,高，高貴，精緻,JLPT_1 JLPT,Ndw<}.:V2o
向上,こうじょう,上升，改進，進步,JLPT_1 JLPT,Qcz@t2UD0)
行進,こうしん,遊行遊行,JLPT_1 JLPT,A=w}ZE@917
香辛料,こうしんりょう,香料,JLPT_1 JLPT,ce!{r.1}~3
降水,こうすい,降雨，降水,JLPT_1 JLPT,"pb1#Y263n,"
洪水,こうずい,洪水,JLPT_1 JLPT,wakC-uKaq}
合成,ごうせい,合成，混合,JLPT_1 JLPT,c^4E@A0[92
公然,こうぜん,公然,JLPT_1 JLPT,M(>QOkIhfA
抗争,こうそう,爭議，抵抗,JLPT_1 JLPT,Ayw{S[ULVi
構想,こうそう,計劃，情節，想法，概念,JLPT_1 JLPT,HJ3]TaFI5x
後退,こうたい,撤退，backspace,JLPT_1 JLPT,Hg(g(Ch73j
光沢,こうたく,光澤，光滑的飾面（照片）,JLPT_1 JLPT,sz+BIfx<J$
公団,こうだん,公共公司,JLPT_1 JLPT,C&5}~^z)ts
好調,こうちょう,令人滿意，狀態良好,JLPT_1 JLPT,fn+k2uN^.*
口頭,こうとう,口服,JLPT_1 JLPT,mWZ1nL&l+A
講読,こうどく,閱讀,JLPT_1 JLPT,"cbt]L<,==)"
購読,こうどく,訂閱,JLPT_1 JLPT,BPBnR~`=Cm
購入,こうにゅう,購買，購買,JLPT_1 JLPT,mN.]${Ep@o
公認,こうにん,官方認可，授權,JLPT_1 JLPT,f=;(Z+KSn*
光熱費,こうねつひ,燃料和光的成本,JLPT_1 JLPT,CBInEbAiwn
購買,こうばい,購買，購買,JLPT_1 JLPT,m|%voYE^yW
好評,こうひょう,受歡迎程度，有利的聲譽,JLPT_1 JLPT,PN?X>r5#3$
交付,こうふ,交付，家具（帶副本）,JLPT_1 JLPT,iWHq@iV7/S
公募,こうぼ,公眾上訴，公共貢獻,JLPT_1 JLPT,zuO/%#|pw9
巧妙,こうみょう,巧妙，熟練，聰明,JLPT_1 JLPT,K0cz7g4lOn
公用,こうよう,政府業務，公共用途，公共費用,JLPT_1 JLPT,E{n/tl9=Ih
小売,こうり,零售,JLPT_1 JLPT,c_Z6-bZ>!E
効率,こうりつ,效率,JLPT_1 JLPT,zkc6-]4~)6
公立,こうりつ,公共機構,JLPT_1 JLPT,FUSldz(S$f
護衛,ごえい,警衛，車隊，護送,JLPT_1 JLPT,Bs7a.5p1{r
コーナー,コーナー,角落,JLPT_1 JLPT,n/T(.dj~.j
小柄,こがら,小，小,JLPT_1 JLPT,p|m2.?zBm2
小切手,こぎって,檢查，檢查,JLPT_1 JLPT,vh>Pgi:y!n
国産,こくさん,家用產品,JLPT_1 JLPT,NVGuI`wyWr
国定,こくてい,國家贊助，國家,JLPT_1 JLPT,K:.NA{MA#
告白,こくはく,認罪，承認,JLPT_1 JLPT,D/-Yon@zj7
国防,こくぼう,國防,JLPT_1 JLPT,gB_-ioo>5E
国有,こくゆう,國家所有權,JLPT_1 JLPT,qhprC(Et1a
極楽,ごくらく,天堂,JLPT_1 JLPT,MY-u/w:|X`
国連,こくれん,聯合國聯合國,JLPT_1 JLPT,PWdSCAXCS{
焦げ茶,こげちゃ,深棕色,JLPT_1 JLPT,z#D(l+D|+d
語源,ごげん,單詞root，單詞推導，詞源學,JLPT_1 JLPT,"wW7;mB,H-n"
心地,ここち,感覺，感覺，心情,JLPT_1 JLPT,HRZ-ZZ((63
心得,こころえ,知識，信息,JLPT_1 JLPT,r]B:&#9/Oj
心掛け,こころがけ,準備，意圖，瞄準,JLPT_1 JLPT,v|gKw*kSA<
心掛ける,こころがける,牢記，打算做,JLPT_1 JLPT,xF|-#cu_O[
志,こころざし,意圖，動機,JLPT_1 JLPT,J^EH*N|S>D
志す,こころざす,計劃，打算，渴望,JLPT_1 JLPT,zc/071N?*?
心強い,こころづよい,令人振奮，放心,JLPT_1 JLPT,K>pZg]2z_[
心細い,こころぼそい,無助，絕望，令人沮喪,JLPT_1 JLPT,ve[sU52iIO
試み,こころみ,試驗，實驗,JLPT_1 JLPT,LnQ-7#~J-i
試みる,こころみる,嘗試，測試,JLPT_1 JLPT,qG!ugw]O{9
快い,こころよい,愉快，很愉快,JLPT_1 JLPT,eXTY5f2Ubn
誤差,ごさ,錯誤,JLPT_1 JLPT,bE*}iimu/k
ございます (かん),ございます (かん),要（禮貌，存在）,JLPT_1 JLPT,g2<)LlaRj=
孤児,こじ,孤兒,JLPT_1 JLPT,Nru>c@<pc2
こじれる,こじれる,變得複雜，變得更糟,JLPT_1 JLPT,jQE(/ITykr
こす (みずを～),こす (みずを～),勞累，過濾,JLPT_1 JLPT,P2WNAwMh[2
梢,こずえ,樹梢,JLPT_1 JLPT,"P{..MI,|Mb"
個性,こせい,個性，個性，特質,JLPT_1 JLPT,EsL6l#sj?m
戸籍,こせき,人口普查，家庭登記冊,JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese,JOc{[NV4x8
古代,こだい,古代,JLPT_1 JLPT,s_N1oO.lmA
こたつ,こたつ,帶加熱器的桌子，（最初）在地板井中的木炭牛,JLPT_1 JLPT,O}EMl{I]K-
こだわる,こだわる,大驚小怪，特別是,JLPT_1 JLPT,Dw-&[Gy8N`
誇張,こちょう,誇張,JLPT_1 JLPT,c]NsRC|}O%
こつ (をつかむ),こつ (をつかむ),秘密，把戲，吊死,JLPT_1 JLPT,qPHur}V8b$
滑稽,こっけい,有趣，幽默，可笑,JLPT_1 JLPT,v>_m`mFbvz
国交,こっこう,外交關係,JLPT_1 JLPT,d-(zI.D]7}
骨董品,こっとうひん,古玩,JLPT_1 JLPT,Dr0mqScf_b
固定,こてい,固定，固定（例如，薪水，資本）,JLPT_1 JLPT,g$6E|N|S:$
事柄,ことがら,物質，事情，外遇，情況,JLPT_1 JLPT,F=ad!I0A}O
孤独,こどく,孤立，孤獨，孤獨,JLPT_1 JLPT,"cT&=x,mI2c"
ことごとく,ことごとく,完全，完全,JLPT_1 JLPT,dR[Sxf+^Ps
言付け,ことづけ,留言,JLPT_1 JLPT,kU+Y{Q}2@W
殊に,ことに,特別是，最重要的是,JLPT_1 JLPT,en/8|n9S0h
粉々,こなごな,在很小的一塊,JLPT_1 JLPT,Kmg$=%neFc
好ましい,このましい,很好，討人喜歡，理想,JLPT_1 JLPT,x#LKH<P4pQ
碁盤,ごばん,去板,JLPT_1 JLPT,zlA@Kkn)Y
個別,こべつ,特殊情況,JLPT_1 JLPT,IS>`l#g_rF
ごまかす,ごまかす,欺騙，偽造，歪曲,JLPT_1 JLPT,p$tB:Q(vZY
細やか,こまやか,微薄，謙虛,JLPT_1 JLPT,w6sGv9Z]7>
コマーシャル,コマーシャル,廣告,JLPT_1 JLPT,pmxm=&|P?L
込める,こめる,包括，放入,JLPT_1 JLPT,FCbb2pT+SZ
コメント,コメント,評論,JLPT_1 JLPT,cplDpvT[1o
籠もる,こもる,隔離自己，被限制在,JLPT_1 JLPT,KBSxgcpn$F
固有,こゆう,特徵，傳統，奇特,JLPT_1 JLPT,yXV:}D_ozd
暦,こよみ,日曆，年鑑,JLPT_1 JLPT,jx:{}3HoK:
凝らす,こらす,集中精力，奉獻，凝視,JLPT_1 JLPT,oJEMYEm^we
ごらんなさい (かん),ごらんなさい (かん),看，（請）嘗試做,JLPT_1 JLPT,N1BBvCZ=AZ
孤立,こりつ,隔離，無助,JLPT_1 JLPT,xYDSYkNe4i
懲りる,こりる,通過經驗學習，厭惡,JLPT_1 JLPT,vbJg<?=y%j
凝る,こる,僵硬，變硬,JLPT_1 JLPT,p)T=z%i7F[
根気,こんき,耐心;毅力，能量,JLPT_1 JLPT,GDCM!r*##2
根拠,こんきょ,基礎，基礎,JLPT_1 JLPT,Grg-T-@C<M
混血,こんけつ,混合種族，混合父母,JLPT_1 JLPT,saDmLPZfe~
コンタクト (レンズ),コンタクト (レンズ),接觸;隱形眼鏡,JLPT_1 JLPT,DU{l0`Yee%
昆虫,こんちゅう,昆蟲，蟲子,JLPT_1 JLPT,P^F+-mx?ec
根底,こんてい,根，基礎,JLPT_1 JLPT,g6v%#_YbHK
混同,こんどう,混亂，混合，合併,JLPT_1 JLPT,"M?|],Xch]L"
コントラスト,コントラスト,對比,JLPT_1 JLPT,m2RkdF5Kfg
コントロール,コントロール,控制,JLPT_1 JLPT,hZ|i&d%@k8
コンパス,コンパス,羅盤,JLPT_1 JLPT,L6kv/h{mWx
根本,こんぽん,基礎，根，基礎,JLPT_1 JLPT,I>Va~AQW*%
財,ざい,財富，財富,JLPT_1 JLPT,Lg^]^#Fui$
再会,さいかい,再次開會，聚會,JLPT_1 JLPT,nK{EZH)j58
災害,さいがい,災難，災難，不幸,JLPT_1 JLPT,s/:E%{jbbX
細菌,さいきん,芽孢桿菌，細菌，細菌,JLPT_1 JLPT,I!s+/_djx3
細工,さいく,工作，工藝，技巧,JLPT_1 JLPT,ouX.|>$33M
採掘,さいくつ,礦業,JLPT_1 JLPT,Qb&n#ag5.U
サイクル,サイクル,循環,JLPT_1 JLPT,CwR.:*^K)]
採決,さいけつ,投票，打電話,JLPT_1 JLPT,dGyNtnPzfu
再建,さいけん,（寺廟或神社）重建,JLPT_1 JLPT,oY^(hGDwBB
再現,さいげん,繁殖，返回，復興,JLPT_1 JLPT,j$Iu*3{(HU
財源,ざいげん,資金，資源，財務,JLPT_1 JLPT,gD`:Vm3DD=
在庫,ざいこ,庫存，庫存,JLPT_1 JLPT,I`6&P}MLhB
採算,さいさん,利潤,JLPT_1 JLPT,z3sqnTBL(n
サイズ,サイズ,尺寸,JLPT_1 JLPT,J0]k_!eDR<
再生,さいせい,播放，再生，復甦,JLPT_1 JLPT,hGl1Th{bx@
財政,ざいせい,經濟，財務,JLPT_1 JLPT,PbUztxpH:]
最善,さいぜん,最好的,JLPT_1 JLPT,M-1H]L<~pq
採択,さいたく,採用，選擇，選擇,JLPT_1 JLPT,e+cLZEXhDr
栽培,さいばい,耕種,JLPT_1 JLPT,uC68c<~cH)
再発,さいはつ,返回，復發，再發生,JLPT_1 JLPT,CS^Rshk:|8
細胞,さいぼう,細胞,JLPT_1 JLPT,CzyHns{dm!
採用,さいよう,使用，採用,JLPT_1 JLPT,"vMLF5(iO,d"
遮る,さえぎる,打斷，攔截，阻礙,JLPT_1 JLPT,QMaal]q?M$
さえずる,さえずる,唱歌，鳴叫，去Twitter,JLPT_1 JLPT,r@Q>;L$}V-
冴える,さえる,要明確，明亮，熟練,JLPT_1 JLPT,F_K.fXalP!
竿,さお,桿，桿（例如，洗衣服）,JLPT_1 JLPT,v^.R1:=Y[p
栄える,さかえる,蓬勃發展，繁榮，繁榮,JLPT_1 JLPT,w`<;(n%DdJ
差額,さがく,平衡，差異，邊距,JLPT_1 JLPT,gAXt@5CeYh
杯,さかずき,酒杯,JLPT_1 JLPT,QIw#3oSw.:
逆立ち,さかだち,倒立，倒立,JLPT_1 JLPT,ec~&YKW}51
さきに (いぜん),さきに (いぜん),之前，比以前更早,JLPT_1 JLPT,uh`5:/)TWv
詐欺,さぎ,欺詐，騙子,JLPT_1 JLPT,w6]yB.g{E!
削減,さくげん,切割，還原,JLPT_1 JLPT,k7zRyZ_D=o
錯誤,さくご,錯誤,JLPT_1 JLPT,IDfkC-Cw&L
作戦,さくせん,軍事行動，戰術，策略,JLPT_1 JLPT,s$Xs?1nQ+e
叫び,さけび,喊，尖叫，強烈抗議,JLPT_1 JLPT,nqYX]L]Y*r
捧げる,ささげる,舉起，付出，提供,JLPT_1 JLPT,KhanDj}|vd
差し掛かる,さしかかる,要靠近，接近,JLPT_1 JLPT,IM%WW[zOZk
指図,さしず,指示，任務,JLPT_1 JLPT,N1]Ah`4~bh
差し出す,さしだす,出現，提交，堅持,JLPT_1 JLPT,A&xf;%;bo<
差し支える,さしつかえる,干預，阻礙,JLPT_1 JLPT,ve>x:VMBVJ
授ける,さずける,授予，授予，教書,JLPT_1 JLPT,h.+pAO9bEu
摩する,さする,摩擦，中風,JLPT_1 JLPT,yQu&Wz5|+#
さぞ (さぞや。さぞかし),さぞ (さぞや。さぞかし),我敢肯定，毫無疑問,JLPT_1 JLPT,FE`C@V&t[f
定まる,さだまる,安頓下來，固定,JLPT_1 JLPT,"Ly=j.,,]V@"
定める,さだめる,決定，確定,JLPT_1 JLPT,MNqx6`F)B2
座談会,ざだんかい,研討會，圓桌討論,JLPT_1 JLPT,d!+{3%PNo}
雑,ざつ,粗糙，粗糙,JLPT_1 JLPT,PqMu^a?1a^
雑貨,ざっか,其他商品，一般商品,JLPT_1 JLPT,r5VCxxHAy|
殺人,さつじん,謀殺,JLPT_1 JLPT,tM%DouVsND
察する,さっする,猜測，感覺，判斷,JLPT_1 JLPT,LGG(>{BjoV
雑談,ざつだん,聊天，閒置談話,JLPT_1 JLPT,DK#>y3UE4B
さっと,さっと,突然，順利,JLPT_1 JLPT,EKYb(VaO4Q
さっぱりする,さっぱりする,重新整理,JLPT_1 JLPT,H|ANTa=Wl{
悟る,さとる,獲得啟蒙，了解,JLPT_1 JLPT,v:Q4euCfA7
最中,さなか,在中間,JLPT_1 JLPT,A!j+&nF3Wn
座標,ざひょう,坐標,JLPT_1 JLPT,B0L0!.A0?}
さほど,さほど,不是這樣，不是那麼多,JLPT_1 JLPT,Eqh)/a:JaN
サボる,サボる,剪裁（跳過）課；在工作中麵包；閒置,JLPT Genki_Ln.11 Intermediate_Japanese JLPT_1 Intermediate_Japanese_Ln.13 Genki,AVLvOaz~KF
