expression,reading,meaning,tags,guid
踏む,ふむ,踩踏，踏上,JLPT JLPT_N4,MD)?c2/f%j
～区,～く,〜區，〜Ward，〜自治市鎮,JLPT JLPT_N4,jyNlO!<_rh
すっと,すっと,直，很快,JLPT JLPT_N4,k|7>>bJ_;p
盗む,ぬすむ,偷;羅伯,Genki Genki_Ln.21 JLPT JLPT_N4,yRRr.o{S!G
大抵,たいてい,通常，通常,Genki Genki_Ln.3 JLPT JLPT_N4,F4RWhn9KV7
とうとう,とうとう,最後，最後,JLPT JLPT_N4,b~a!BAlss]
ガソリン,ガソリン,汽油汽油,Genki Genki_Ln.21 JLPT JLPT_N4,DtjnF2f-}S
鳴る,なる,聽起來，敲響（v.i。）,Intermediate_Japanese_Ln.2 JLPT JLPT_N4,N2XM.u#*9T
しっかり,しっかり,堅定，穩定,JLPT JLPT_N4,s1@<ogH]|l
生きる,いきる,活著,JLPT JLPT_N4,PsYPR<^eS}
苦い,にがい,苦的,JLPT JLPT_N4,s7onh_qmu>
沸く,わく,煮沸，變熱,JLPT JLPT_N4,PG:x_[8:n{
意見,いけん,意見，觀點，想法,JLPT JLPT_N4,rm|oi`$1Dg
やはり; やっぱり,やはり; やっぱり,正如我想的那樣，絕對,JLPT JLPT_N4,uKv@@b~bnv
漫画,まんが,漫畫（書），卡通,Genki Genki_Ln.14 JLPT JLPT_N4,l|R^YmR+|c
ステレオ,ステレオ,立體聲,JLPT JLPT_N4,j)<hxBenH^
医学,いがく,醫學,JLPT JLPT_N4,j>$AcgpmMe
テキスト,テキスト,文本;教科書,JLPT JLPT_N4,tNueVeWq/i
～月,～つき,月,JLPT JLPT_N4,fmd>SOFFek
折る,おる,搶購，打破；彎曲,JLPT JLPT_N4,yVVu7>5}8_
～会,～かい,〜開會,JLPT JLPT_N4,q`5&BgJq(Y
うかがう,うかがう,問,JLPT JLPT_N4,i(<6VU5W9O
聞こえる,きこえる,被聽到，可聽見,JLPT JLPT_N4,quf~I<>p>
僕,ぼく,我（男人使用的是地位相等或較低的人）,Genki Genki_Ln.5 JLPT JLPT_N4,sZrMWgN[D[
必ず,かならず,當然，當然,Intermediate_Japanese_Ln.8 JLPT JLPT_N4,t=>{J>bIy^
壊す,こわす,打破，分解,JLPT JLPT_N4,d^9}5OH`;*
怒る,おこる,生氣；憤怒地責罵,Genki Genki_Ln.19 JLPT JLPT_N4,Ib^RmCfT#f
床屋,とこや,理髮師（商店）,Genki Genki_Ln.10 Intermediate_Japanese_Ln.6 JLPT JLPT_N4,t^jDr`iefA
オートバイ,オートバイ,摩托車（點亮：自動二（ke））,JLPT JLPT_N4,Pt[L]fX^FJ
運動,うんどうする,鍛煉,JLPT JLPT_N4,=pK+M[-/J
止む,やむ,停止，停止,JLPT JLPT_N4,i[hf?*~a)V
もし,もし,如果,JLPT JLPT_N4,oLI2n{GVOs
表,おもて,表面;正面;外部,JLPT JLPT_N4,qP[jTS0$-o
大学生,だいがくせい,大學生，大學生,Genki Genki_Ln.1 Genki_Ln.8 JLPT JLPT_N4,cCEA>;7p%n
運転手,うんてんしゅ,駕駛員（按職業）,Intermediate_Japanese_Ln.6 JLPT JLPT_N4,c=1Zd>L>/{
予習,よしゅう,準備課程（課堂）,Genki Genki_Ln.22 Intermediate_Japanese_Ln.5 JLPT JLPT_N4,A$348:bL<R
心配,しんぱいする,擔心，擔心,JLPT JLPT_N4,reB^;ntMm;
別,べつ,區別，不同,JLPT JLPT_N4,pvVM*k}K*D
非常に,ひじょうに,極其;非常,Intermediate_Japanese_Ln.2 JLPT JLPT_N4,Ih.~ep.W8C
お宅,おたく,（別人）的房子；家 - 家（いえ）的禮貌詞 -,Genki Genki_Ln.13 Intermediate_Japanese_Ln.7 JLPT JLPT_N4,"G:h,g@5k[b"
柔らかい,やわらかい,軟（參考質地），嫩,JLPT JLPT_N4,Mb;<89jf/c
拾う,ひろう,撿起（某物），找到,Genki Genki_Ln.22 JLPT JLPT_N4,A7mxJIkuGg
～ございます,～ございます,是（禮貌），存在,JLPT JLPT_N4,kMO?quX[B$
気,き,精神，心情,JLPT JLPT_N4,N`FU2bb#2c
比べる,くらべる,比較,JLPT JLPT_N4,OXHWkwV:?8
