expression,reading,meaning,tags,guid
ああ,ああ,啊！ ，哦！,JLPT JLPT_4 JLPT_5 JLPT_N5,HI-.Ij?HS~
会う,あう,見面，看看,JLPT JLPT_3 JLPT_5 JLPT_N5,kupB!kWE}<
青,あお,藍色的,JLPT JLPT_5 JLPT_N5,HB)I{+$j.i
青い,あおい,藍色的,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5,q(A)lc.Kr8
赤,あか,紅色的,JLPT JLPT_5 JLPT_N5,y!Fn9IOz@J
赤い,あかい,紅色的,Genki Genki_Ln.9 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_5 JLPT_N5,D`aKGX2j!#
明るい,あかるい,明亮（指性格或天氣）；快樂,Genki Genki_Ln.18 Intermediate_Japanese Intermediate_Japanese_Ln.11 JLPT JLPT_5 JLPT_N5,m>)z8|k.>J
秋,あき,秋季（季節）,Genki Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_3 JLPT_5 JLPT_N5,H~$iS3{X?*
開く,あく,開放，開放,JLPT JLPT_3 JLPT_5 JLPT_N5,m[4![DH*c~
開ける,あける,打開（v.t。）,Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_3 JLPT_5 JLPT_N5,y.#AVx@-k>
上げる,あげる,升起，舉起,JLPT JLPT_3 JLPT_5 JLPT_N5,Hp0]9?Ae.w
朝,あさ,早晨,Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5,g|Q>VbnCii
朝御飯,あさごはん,早餐,Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5,wWUR=G6*(U
明後日,あさって,後天,JLPT JLPT_5 JLPT_N5,mF[0Aq7|V7
足; 脚,あし,腳;腿,JLPT JLPT_5 JLPT_N5,m.INsC.wC2
明日,あした,明天,Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_3 JLPT_5 JLPT_N5,xZI7N3AauN
あそこ,あそこ,在那兒，那個地方,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,P>AI.lx+Jq
遊ぶ,あそぶ,玩；花時間愉快；閒逛,Genki Genki_Ln.6 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,e<h|f2`;&
